ensembl_gene_ID,kegg_ID
"ENSBTAG00000017525","path:bta04621"
"ENSBTAG00000017525","path:bta04622"
"ENSBTAG00000018360","path:bta03010"
"ENSBTAG00000009188","path:bta00230"
"ENSBTAG00000009188","path:bta00670"
"ENSBTAG00000009188","path:bta01100"
"ENSBTAG00000009188","path:bta01523"
"ENSBTAG00000003259","path:bta03040"
"ENSBTAG00000014124","path:bta05202"
"ENSBTAG00000017090","path:bta04140"
"ENSBTAG00000017090","path:bta05014"
"ENSBTAG00000017090","path:bta05022"
"ENSBTAG00000051386","path:bta04142"
"ENSBTAG00000019956","path:bta00240"
"ENSBTAG00000019956","path:bta00983"
"ENSBTAG00000019956","path:bta01100"
"ENSBTAG00000020223","path:bta04020"
"ENSBTAG00000017087","path:bta03440"
"ENSBTAG00000017087","path:bta03460"
"ENSBTAG00000013734","path:bta00190"
"ENSBTAG00000013734","path:bta01100"
"ENSBTAG00000013734","path:bta04145"
"ENSBTAG00000013734","path:bta04150"
"ENSBTAG00000013734","path:bta04721"
"ENSBTAG00000013734","path:bta04966"
"ENSBTAG00000013734","path:bta05165"
"ENSBTAG00000013734","path:bta05323"
"ENSBTAG00000015086","path:bta00140"
"ENSBTAG00000015086","path:bta00980"
"ENSBTAG00000015086","path:bta01100"
"ENSBTAG00000015086","path:bta05204"
"ENSBTAG00000009903","path:bta04024"
"ENSBTAG00000009903","path:bta04340"
"ENSBTAG00000009903","path:bta04360"
"ENSBTAG00000009903","path:bta05200"
"ENSBTAG00000009903","path:bta05205"
"ENSBTAG00000009903","path:bta05217"
"ENSBTAG00000054699","path:bta04740"
"ENSBTAG00000046389","path:bta04612"
"ENSBTAG00000046389","path:bta04650"
"ENSBTAG00000046389","path:bta05332"
"ENSBTAG00000048495","path:bta04115"
"ENSBTAG00000048495","path:bta04120"
"ENSBTAG00000048495","path:bta04310"
"ENSBTAG00000000799","path:bta04940"
"ENSBTAG00000013749","path:bta04910"
"ENSBTAG00000021242","path:bta00130"
"ENSBTAG00000021242","path:bta01100"
"ENSBTAG00000000317","path:bta04010"
"ENSBTAG00000053862","path:bta04740"
"ENSBTAG00000010716","path:bta04512"
"ENSBTAG00000010821","path:bta00600"
"ENSBTAG00000010821","path:bta01100"
"ENSBTAG00000010821","path:bta04071"
"ENSBTAG00000049963","path:bta04740"
"ENSBTAG00000011596","path:bta03040"
"ENSBTAG00000011596","path:bta05168"
"ENSBTAG00000049717","path:bta04740"
"ENSBTAG00000048626","path:bta04060"
"ENSBTAG00000048626","path:bta04061"
"ENSBTAG00000048626","path:bta04062"
"ENSBTAG00000048626","path:bta04620"
